Time (s)	Load (N)	Displacement (mm)
0	0	-0,026
0,023	0	-0,163
0,046	0	-0,289
0,07	-0,5	-0,405
0,094	-1,5	-0,531
0,118	-2,5	-0,651
0,148	-3	-0,801
0,174	-4	-0,921
0,196	-4,5	-1,041
0,22	-5,5	-1,161
0,244	-6	-1,276
0,268	-6,5	-1,402
0,292	-8	-1,516
0,316	-9	-1,642
0,34	-9,5	-1,756
0,364	-10	-1,881
0,388	-10,5	-2,002
0,412	-12	-2,121
0,436	-13	-2,241
0,46	-13,5	-2,357
0,484	-14,5	-2,481
0,508	-15	-2,606
0,532	-16	-2,721
0,556	-17	-2,841
0,58	-17,5	-2,962
0,604	-18,5	-3,082
0,628	-19	-3,201
0,652	-20	-3,295
0,676	-21	-3,359
0,7	-21	-3,403
0,724	-21,5	-3,432
0,748	-22	-3,454
0,772	-22	-3,468
0,796	-22	-3,478
0,82	-22	-3,485
0,844	-22	-3,49
0,868	-22	-3,493
0,892	-22	-3,495
0,916	-22	-3,496
0,94	-22	-3,498
0,964	-22	-3,498
0,988	-22	-3,499
1,012	-22	-3,499
1,036	-22	-3,499
1,06	-21,5	-3,5
1,084	-21,5	-3,498
1,108	-21,5	-3,387
1,132	-21,5	-3,258
1,156	-21	-3,137
1,18	-20	-3,022
1,204	-19	-2,896
1,228	-19	-2,776
1,252	-16,5	-2,656
1,276	-16	-2,536
1,3	-15	-2,416
1,324	-14,5	-2,296
1,348	-14	-2,186
1,372	-12,5	-2,056
1,396	-12,5	-1,936
1,42	-11	-1,816
1,444	-10,5	-1,711
1,468	-9,5	-1,576
1,492	-8	-1,456
1,516	-7,5	-1,281
1,552	-6	-1,156
1,576	-5,5	-1,036
1,6	-5	-0,916
1,624	-4,5	-0,796
1,648	-4	-0,681
1,672	-3	-0,556
1,696	-2,5	-0,436
1,72	-2	-0,326
1,744	-1,5	-0,215
1,768	-1	-0,148
1,792	0	-0,102
1,816	0	-0,07
1,84	0	-0,048
1,864	0	-0,034
1,887	0	-0,023
1,912	0	-0,016
1,936	0,5	-0,011
1,96	0,5	-0,008
1,984	0,5	-0,005
2,008	0,5	-0,003
2,032	0,5	-0,002
2,056	0,5	-0,001
2,08	0,5	-0,001
2,104	0,5	0
2,128	0	-0,004
2,152	0	-0,126
2,176	0	-0,253
2,2	0	-0,375
2,224	0	-0,495
2,248	-0,5	-0,616
2,271	-2	-0,736
2,296	-2,5	-0,856
2,32	-3	-0,976
2,344	-4	-1,096
2,368	-4,5	-1,216
2,392	-5,5	-1,336
2,415	-6	-1,456
2,44	-6,5	-1,576
2,464	-7	-1,696
2,488	-7,5	-1,816
2,512	-9	-1,936
2,536	-9,5	-2,056
2,56	-10	-2,176
2,584	-10,5	-2,296
2,608	-12	-2,446
2,637	-12,5	-2,566
2,662	-12,5	-2,686
2,686	-14	-2,806
2,71	-15	-2,926
2,734	-16	-3,046
2,757	-17	-3,166
2,782	-17,5	-3,268
