Time (s)	Load (N)	Displacement (mm)
0	-0,16	-0,035
0,023	-0,14	-0,175
0,047	-0,54	-0,3
0,071	-1,22	-0,421
0,096	-1,98	-0,541
0,119	-2,68	-0,662
0,143	-3,4	-0,781
0,167	-4,82	-0,901
0,191	-5,52	-1,022
0,215	-6,22	-1,142
0,239	-6,94	-1,262
0,263	-6,94	-1,382
0,287	-9	-1,502
0,311	-9,74	-1,626
0,335	-10,44	-1,742
0,359	-10,44	-1,862
0,383	-11,18	-1,982
0,407	-13,38	-2,102
0,431	-14,1	-2,222
0,455	-14,1	-2,342
0,479	-14,86	-2,462
0,503	-15,66	-2,582
0,527	-17,34	-2,702
0,551	-18,14	-2,822
0,575	-18,9	-2,942
0,599	-19,74	-3,062
0,623	-20,56	-3,182
0,647	-22,1	-3,283
0,671	-22,86	-3,35
0,695	-23,6	-3,397
0,719	-24,18	-3,429
0,743	-24,6	-3,451
0,767	-25,06	-3,466
0,791	-25,18	-3,477
0,815	-25,22	-3,484
0,839	-25,24	-3,489
0,863	-25,24	-3,492
0,887	-25,2	-3,494
0,911	-25,16	-3,496
0,935	-25,1	-3,497
0,959	-25,06	-3,498
0,983	-25,02	-3,498
1,007	-24,94	-3,499
1,031	-24,9	-3,5
1,055	-24,84	-3,483
1,079	-24,82	-3,35
1,103	-24,78	-3,225
1,127	-23,62	-3,103
1,151	-22,76	-2,982
1,175	-21,68	-2,862
1,199	-20,78	-2,742
1,223	-19,88	-2,622
1,247	-18,16	-2,502
1,271	-17,32	-2,382
1,295	-16,42	-2,257
1,319	-15,6	-2,142
1,343	-14,04	-1,992
1,376	-13,28	-1,872
1,397	-12,48	-1,752
1,421	-11,74	-1,632
1,445	-11,02	-1,512
1,469	-9,6	-1,392
1,493	-8,9	-1,272
1,517	-8,22	-1,152
1,541	-7,54	-1,032
1,565	-7,54	-0,912
1,589	-5,56	-0,792
1,614	-4,92	-0,672
1,637	-4,28	-0,552
1,661	-3,64	-0,432
1,685	-2,98	-0,312
1,709	-1,76	-0,213
1,733	-1,16	-0,147
1,757	-0,66	-0,101
1,781	-0,24	-0,069
1,805	0,68	-0,013
1,913	0,7	-0,009
1,937	0,72	-0,006
1,961	0,72	-0,004
1,985	0,72	-0,003
2,009	0,72	-0,002
2,033	0,72	-0,001
2,057	0,7	-0,001
2,081	0,7	0
2,105	0,7	-0,009
2,129	0,68	-0,136
2,153	0,48	-0,263
2,177	0,08	-0,385
2,201	-0,48	-0,505
2,225	-1,26	-0,625
2,249	-2,64	-0,746
2,273	-3,3	-0,866
2,297	-4	-0,986
2,321	-4,66	-1,106
2,345	-5,34	-1,226
2,369	-6,66	-1,346
2,393	-7,32	-1,466
2,417	-7,98	-1,586
2,441	-8,64	-1,706
2,465	-9,32	-1,826
2,489	-9,32	-1,946
2,513	-11,44	-2,066
2,537	-12,16	-2,186
2,561	-12,86	-2,306
2,585	-12,86	-2,426
2,609	-15,14	-2,546
2,633	-15,94	-2,666
2,657	-16,74	-2,786
2,681	-17,54	-2,906
2,705	-18,34	-3,026
2,729	-19,98	-3,146
2,753	-20,8	-3,256
2,777	-21,62	-3,333
2,801	-22,4	-3,385
2,825	-23,06	-3,421
2,849	-23,92	-3,446
2,873	-23,92	-3,462
2,897	-24,18	-3,474
2,921	-24,46	-3,482
2,945	-24,54	-3,488
2,969	-24,54	-3,492
2,993	-24,58	-3,494
3,017	-24,58	-3,495
3,041	-24,56	-3,497
3,065	-24,54	-3,498
3,089	-24,52	-3,498
3,113	-24,48	-3,499
3,137	-24,46	-3,499
3,161	-24,42	-3,5
3,185	-24,4	-3,427
3,209	-24,34	-3,288
3,234	-24,1	-3,165
3,257	-23,34	-3,044
3,281	-22,54	-2,924
3,305	-21,42	-2,803
3,329	-19,58	-2,683
3,353	-18,72	-2,563
3,377	-17,84	-2,443
3,401	-17	-2,323
3,425	-16,1	-2,203
3,449	-14,48	-2,083
3,473	-13,68	-1,963
3,497	-12,92	-1,843
3,521	-12,12	-1,723
3,545	-11,4	-1,603
3,569	-9,96	-1,483
3,593	-9,26	-1,363
3,617	-8,56	-1,243
3,641	-7,86	-1,123
3,665	-7,22	-1,003
3,689	-5,88	-0,883
3,713	-5,24	-0,763
3,737	-4,6	-0,643
3,761	-3,96	-0,523
3,785	-2,7	-0,403
3,809	-2,1	-0,284
3,833	-1,48	-0,195
3,857	-0,88	-0,134
3,881	-0,4	-0,092
3,905	0,04	-0,064
3,929	0,6	-0,044
3,953	0,74	-0,031
3,977	0,84	-0,021
4,001	0,92	-0,014
4,025	0,96	-0,01
4,049	1,02	-0,007
4,073	1,02	-0,005
4,097	1,02	-0,003
4,121	1,02	-0,002
4,145	1,02	-0,001
4,169	1	-0,001
4,193	1	-0,001
4,217	0,98	0
4,241	0,96	-0,072
4,265	0,96	-0,206
4,289	0,42	-0,328
4,313	0,16	-0,449
4,337	-0,56	-0,569
4,361	-0,56	-0,689
4,385	-1,98	-0,814
4,409	-3,32	-0,93
4,433	-3,98	-1,05
4,457	-4,64	-1,169
4,481	-5,32	-1,29
4,505	-6	-1,41
4,529	-7,32	-1,524
4,553	-7,98	-1,65
4,577	-8,66	-1,77
4,601	-9,32	-1,89
4,625	-10,02	-2,01
4,649	-11,4	-2,13
4,673	-12,12	-2,245
4,697	-12,86	-2,37
4,721	-13,64	-2,49
4,745	-13,64	-2,61
4,769	-15,96	-2,73
4,793	-16,74	-2,845
4,817	-17,62	-2,97
4,841	-18,42	-3,09
4,865	-19,24	-3,209
4,889	-20,9	-3,301
4,913	-21,76	-3,363
4,937	-22,46	-3,406
4,961	-23,06	-3,435
4,985	-23,46	-3,455
5,009	-23,94	-3,469
5,033	-24,06	-3,478
5,057	-24,14	-3,486
5,081	-24,2	-3,49
5,105	-24,24	-3,493
5,129	-24,26	-3,495
5,153	-24,24	-3,496
5,177	-24,24	-3,497
5,201	-24,24	-3,498
5,225	-24,24	-3,499
5,249	-24,14	-3,499
5,273	-24,12	-3,5
5,297	-24,12	-3,457
5,321	-24,1	-3,315
5,345	-23,98	-3,19
5,369	-22,58	-3,069
5,393	-22,58	-2,948
5,417	-21,52	-2,828
5,441	-19,6	-2,708
5,465	-18,72	-2,588
5,489	-18,72	-2,468
5,513	-16,98	-2,353
5,537	-15,24	-2,228
5,561	-15,24	-2,108
5,585	-13,66	-1,988
5,609	-12,9	-1,868
5,633	-12,08	-1,748
5,657	-11,2	-1,628
5,681	-10,48	-1,508
5,705	-10,48	-1,388
5,729	-8,34	-1,268
5,753	-7,66	-1,148
5,777	-6,98	-1,028
5,801	-6,34	-0,908
5,825	-5,68	-0,788
5,849	-4,38	-0,668
5,873	-3,76	-0,548
5,897	-3,12	-0,428
5,921	-2,52	-0,308
5,945	-1,3	-0,211
5,969	-0,72	-0,145
5,993	-0,22	-0,1
6,017	0,2	-0,069
6,041	0,54	-0,047
6,065	0,78	-0,033
6,089	1,04	-0,022
6,112	1,12	-0,016
6,137	1,18	-0,011
6,161	1,2	-0,008
6,185	1,22	-0,005
6,209	1,24	-0,003
6,232	1,22	-0,002
6,257	1,22	-0,002
6,281	1,2	-0,001
6,305	1,2	-0,001
6,329	1,18	0
6,353	1,16	-0,015
6,377	1,14	-0,148
6,401	1,14	-0,274
6,425	0,86	-0,396
6,448	0,06	-0,516
6,473	-0,68	-0,636
6,496	-1,36	-0,756
6,521	-2,06	-0,876
6,544	-2,74	-0,997
6,569	-4,12	-1,117
6,593	-4,78	-1,237
6,617	-5,48	-1,357
6,641	-6,12	-1,477
6,665	-6,8	-1,597
6,689	-8,16	-1,717
6,713	-8,16	-1,837
6,737	-9,5	-1,957
6,761	-10,2	-2,077
6,785	-10,9	-2,197
6,809	-12,32	-2,317
6,832	-13,1	-2,437
6,857	-13,86	-2,557
6,881	-14,62	-2,677
6,905	-15,42	-2,792
6,929	-17,04	-2,912
6,953	-17,86	-3,036
6,976	-18,66	-3,156
7	-19,5	-3,265
7,025	-20,34	-3,339
7,049	-21,98	-3,389
7,073	-22,62	-3,422
7,097	-23,08	-3,447
7,121	-23,42	-3,464
7,145	-23,64	-3,474
7,169	-23,9	-3,483
7,193	-23,96	-3,488
7,216	-24	-3,492
7,24	-24,02	-3,494
7,265	-24,02	-3,496
7,288	-24,02	-3,497
7,312	-24	-3,498
7,336	-23,98	-3,498
7,36	-23,96	-3,499
7,384	-23,94	-3,499
7,408	-23,9	-3,5
7,432	-23,86	-3,427
7,456	-23,86	-3,291
7,481	-23,7	-3,168
7,504	-22,98	-3,047
7,528	-21,02	-2,927
7,552	-20,14	-2,806
7,576	-19,2	-2,686
7,601	-18,32	-2,566
7,624	-17,44	-2,446
7,648	-15,68	-2,326
7,672	-14,86	-2,206
7,696	-14,06	-2,086
7,72	-14,06	-1,966
7,744	-14,06	-1,846
7,768	-10,98	-1,726
7,792	-10,24	-1,606
7,816	-10,24	-1,486
7,84	-9,54	-1,366
7,864	-7,46	-1,251
7,888	-6,8	-1,126
7,912	-6,8	-1,006
7,936	-6,12	-0,886
7,96	-4,84	-0,766
7,984	-4,2	-0,646
8,008	-2,94	-0,527
8,032	-2,34	-0,406
8,056	-1,74	-0,287
8,081	-1,16	-0,197
8,104	-1,16	-0,136
8,128	0,38	-0,093
8,152	0,72	-0,064
8,176	0,94	-0,044
8,201	1,1	-0,031
8,224	1,22	-0,021
8,248	1,34	-0,014
8,272	1,36	-0,01
8,296	1,38	-0,007
8,32	1,38	-0,005
8,344	1,38	-0,003
8,368	1,38	-0,002
8,392	1,36	-0,001
8,416	1,36	-0,001
8,44	1,34	-0,001
8,464	1,32	0
8,488	1,3	-0,047
8,512	1,3	-0,182
8,536	1,08	-0,312
8,561	0,64	-0,432
8,584	0,14	-0,553
8,608	-1,34	-0,673
8,632	-2,08	-0,793
8,656	-2,74	-0,913
8,68	-3,44	-1,033
8,704	-4,1	-1,153
8,728	-4,76	-1,273
8,752	-6,1	-1,393
8,776	-6,76	-1,513
8,8	-7,4	-1,633
8,824	-7,4	-1,753
8,848	-9,44	-1,873
8,872	-10,1	-1,993
8,896	-10,78	-2,113
8,92	-10,78	-2,233
8,944	-11,48	-2,353
8,969	-13,72	-2,473
8,992	-14,48	-2,593
9,017	-14,48	-2,713
9,04	-15,26	-2,833
9,064	-16,9	-2,953
9,088	-18,54	-3,073
9,112	-18,54	-3,193
9,136	-19,38	-3,29
9,16	-21,12	-3,356
9,185	-21,88	-3,401
9,208	-21,88	-3,432
9,232	-22,96	-3,453
9,256	-23,28	-3,468
9,28	-23,52	-3,477
9,304	-23,66	-3,485
9,328	-23,8	-3,489
9,352	-23,84	-3,493
9,376	-23,86	-3,495
9,401	-23,86	-3,496
9,424	-23,84	-3,497
9,448	-23,82	-3,498
9,472	-23,8	-3,498
9,496	-23,78	-3,499
9,52	-23,76	-3,5
9,544	-23,76	-3,491
9,568	-23,72	-3,366
9,592	-23,7	-3,238
9,616	-23,22	-3,116
9,64	-22,42	-2,995
9,664	-22,42	-2,875
9,688	-19,46	-2,755
9,712	-18,56	-2,634
9,737	-17,68	-2,515
9,76	-16,78	-2,395
9,784	-15,92	-2,275
9,808	-14,28	-2,155
