Time (s)	Load (N)	Displacement (mm)
0	0	-0,036
0,023	0	-0,174
0,047	0	-0,298
0,071	-0,5	-0,419
0,095	-3,5	-0,57
0,125	-5	-0,69
0,149	-6,5	-0,81
0,173	-8,5	-0,93
0,197	-11	-1,05
0,221	-12,5	-1,17
0,245	-14	-1,29
0,27	-15	-1,41
0,294	-16,5	-1,53
0,317	-19	-1,65
0,341	-20	-1,77
0,365	-21	-1,89
0,389	-22	-2,01
0,415	-23,5	-2,13
0,437	-25,5	-2,25
0,461	-26,5	-2,37
0,487	-27,5	-2,49
0,509	-28,5	-2,61
0,533	-29,5	-2,73
0,557	-32	-2,85
0,581	-33	-2,97
0,605	-34,5	-3,09
0,629	-35,5	-3,209
0,654	-35	-3,302
0,677	-36,5	-3,363
0,701	-37,5	-3,407
0,725	-38,5	-3,435
0,751	-39	-3,455
0,773	-39,5	-3,469
0,797	-39,5	-3,478
0,821	-39,5	-3,486
0,845	-39,5	-3,49
0,869	-39,5	-3,493
0,893	-39,5	-3,495
0,917	-39	-3,496
0,941	-39	-3,498
0,965	-39	-3,498
0,989	-39	-3,499
1,013	-39	-3,5
1,037	-39	-3,456
1,061	-39	-3,316
1,085	-38,5	-3,191
1,11	-37,5	-3,07
1,133	-36	-2,95
1,157	-32	-2,829
1,181	-30,5	-2,709
1,205	-29	-2,589
1,229	-27,5	-2,469
1,255	-26,5	-2,349
1,277	-24	-2,229
1,301	-23	-2,104
1,325	-22	-1,989
1,349	-21	-1,869
1,373	-20,5	-1,749
1,398	-18	-1,629
1,421	-17	-1,509
1,445	-16	-1,389
1,471	-15	-1,269
1,493	-14	-1,149
1,517	-11,5	-1,029
1,541	-10,5	-0,909
1,565	-9	-0,789
1,589	-7	-0,609
1,625	-5,5	-0,489
1,65	-4,5	-0,369
1,673	-3,5	-0,255
1,697	-1,5	-0,175
1,721	-0,5	-0,12
1,746	0	-0,083
1,769	0	-0,057
1,793	0,5	-0,04
1,818	1	-0,027
1,842	1	-0,019
1,865	1,5	-0,013
1,889	1,5	-0,009
1,913	1,5	-0,006
1,937	1,5	-0,004
1,961	1,5	-0,003
1,985	1,5	-0,002
2,009	1,5	-0,001
2,033	1,5	-0,001
2,058	1,5	0
2,081	1,5	-0,042
2,105	1,5	-0,18
2,129	1,5	-0,304
2,153	0,5	-0,74
2,237	-5	-0,846
2,261	-6	-0,966
2,285	-7,5	-1,086
2,309	-8,5	-1,206
2,334	-8,5	-1,326
2,357	-12	-1,446
