Time (s)	Load (N)	Displacement (mm)
0	-0,5	-0,036
0,024	-0,5	-0,212
0,054	-1	-0,331
0,078	-3,5	-0,452
0,101	-5,5	-0,577
0,126	-7,5	-0,697
0,15	-9,5	-0,812
0,174	-12	-0,927
0,198	-13,5	-1,053
0,222	-15	-1,172
0,246	-16	-1,298
0,27	-17,5	-1,413
0,294	-20	-1,533
0,318	-21	-1,658
0,342	-22	-1,773
0,366	-23	-1,893
0,389	-24	-2,018
0,413	-26,5	-2,133
0,438	-27,5	-2,252
0,462	-28,5	-2,373
0,486	-29,5	-2,492
0,51	-28,5	-2,613
0,537	-30	-2,733
0,558	-31,5	-2,853
0,582	-32,5	-2,973
0,606	-34	-3,098
0,63	-35,5	-3,212
0,653	-37,5	-3,306
0,678	-39	-3,365
0,701	-39,5	-3,408
0,726	-40,5	-3,436
0,75	-41	-3,456
0,774	-41	-3,47
0,798	-41,5	-3,478
0,821	-41	-3,486
0,846	-41	-3,49
0,87	-41	-3,493
0,894	-41	-3,495
0,917	-41	-3,497
0,942	-41	-3,498
0,965	-41	-3,498
0,989	-41	-3,499
1,014	-40,5	-3,499
1,037	-40,5	-3,499
1,062	-40,5	-3,5
1,085	-40,5	-3,414
1,11	-40,5	-3,279
1,134	-39	-3,156
1,158	-37	-3,03
1,182	-35,5	-2,914
1,206	-33,5	-2,789
1,23	-32	-2,674
1,254	-29	-2,549
1,278	-28	-2,429
1,302	-26,5	-2,308
1,326	-25	-2,194
1,35	-24	-2,063
1,373	-22	-1,953
1,397	-21	-1,838
1,422	-20	-1,713
1,445	-19	-1,593
1,47	-18	-1,478
1,493	-15	-1,353
1,517	-14,5	-1,233
1,542	-13,5	-1,113
1,565	-12	-0,963
1,595	-10	-0,838
1,619	-8,5	-0,723
1,644	-7,5	-0,603
1,668	-6	-0,484
1,691	-5,5	-0,364
1,715	-3	-0,251
1,739	-2,5	-0,173
1,763	-1,5	-0,119
1,787	-0,5	-0,082
1,811	0	-0,056
1,838	0	-0,039
1,859	0,5	-0,026
1,884	0,5	-0,018
1,907	0,5	-0,013
1,931	0,5	-0,009
1,955	1	-0,006
1,979	1	-0,004
2,003	1	-0,002
2,027	1	-0,002
2,051	1	0
2,135	1	-0,07
2,159	0,5	-0,201
2,183	0,5	-0,323
2,207	0	-0,449
2,231	-1,5	-0,564
2,255	-4	-0,684
2,279	-5	-0,804
2,303	-6,5	-0,925
2,327	-7,5	-1,045
2,351	-9	-1,17
2,375	-11,5	-1,284
2,399	-12,5	-1,405
2,423	-12,5	-1,53
2,447	-14,5	-1,644
2,471	-15	-1,765
2,495	-17,5	-1,915
2,525	-19	-2,03
2,549	-20	-2,155
2,573	-22	-2,28
2,597	-22,5	-2,395
2,621	-24	-2,515
2,645	-25	-2,635
2,669	-26	-2,755
2,693	-28,5	-2,875
2,717	-30	-2,995
2,741	-31	-3,12
2,765	-32,5	-3,232
2,789	-34	-3,316
2,813	-36,5	-3,376
2,837	-37,5	-3,413
2,861	-38,5	-3,44
2,885	-39	-3,458
2,909	-39	-3,471
2,933	-40	-3,48
2,957	-40	-3,487
2,981	-40	-3,491
3,005	-40	-3,494
3,029	-40	-3,496
3,053	-40	-3,497
3,077	-40	-3,498
3,101	-40	-3,498
3,125	-40	-3,499
3,149	-40	-3,499
3,173	-39,5	-3,5
3,197	-39,5	-3,492
3,221	-39,5	-3,362
3,245	-39,5	-3,24
3,269	-38,5	-3,118
3,293	-35,5	-2,998
3,317	-33,5	-2,872
3,341	-32	-2,757
3,365	-30,5	-2,637
3,389	-29	-2,517
3,413	-26,5	-2,397
3,437	-25	-2,277
3,461	-24	-2,157
3,485	-23	-2,037
3,509	-22	-1,917
3,533	-20	-1,797
3,557	-19	-1,672
3,581	-18	-1,557
3,605	-16,5	-1,437
3,629	-15	-1,317
3,653	-13,5	-1,197
3,677	-12	-1,077
3,701	-11	-0,957
3,725	-10	-0,837
3,749	-8,5	-0,717
3,773	-6,5	-0,597
3,797	-5,5	-0,477
3,821	-4,5	-0,357
3,845	-3,5	-0,246
3,869	-2,5	-0,169
3,893	-0,5	-0,116
3,917	0	-0,078
3,941	0	-0,055
3,965	0,5	-0,037
3,989	0,5	-0,026
4,013	1	-0,018
4,037	1	-0,012
4,061	1	-0,009
4,085	1	-0,005
4,109	1	-0,004
4,133	1	-0,002
4,157	1,5	-0,002
4,181	1	-0,001
4,205	1	-0,001
4,229	1	-0,001
4,253	1	0
4,277	1	-0,025
4,301	1	-0,162
4,325	0,5	-0,287
4,349	0	-0,409
4,373	-2	-0,529
4,397	-3	-0,644
4,421	-4,5	-0,769
4,445	-5,5	-0,894
4,469	-6,5	-1,01
4,493	-9	-1,13
4,517	-10	-1,25
4,541	-11	-1,375
4,565	-12	-1,494
4,589	-13,5	-1,61
4,613	-15	-1,73
4,637	-16,5	-1,85
4,661	-17,5	-1,97
